               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060631,            0.022039,            0.056208,           0.0018613,             0.44991,           0.0023279,          0.00063377,            0.039271,            0.010929,            0.049068,             0.07002,           0.0033311,           0.0033311
                   1,            0.046964,            0.022822,            0.054581,           0.0026976,              0.7522,            0.014165,           0.0043639,            0.044912,            0.010533,            0.048572,            0.039954,           0.0065985,           0.0065985
                   2,            0.042299,            0.022751,            0.054862,           0.0029665,             0.82627,             0.04193,            0.017219,            0.036887,            0.011272,             0.04812,           0.0098219,           0.0097998,           0.0097998
                   3,            0.036791,            0.021117,            0.053739,           0.0036807,             0.96758,            0.062374,            0.020377,            0.029505,            0.010943,            0.047635,            0.009703,            0.009703,            0.009703
                   4,            0.033528,            0.019511,            0.053563,           0.0097282,             0.88185,            0.077038,            0.038393,            0.025405,           0.0084146,            0.047193,            0.009703,            0.009703,            0.009703
                   5,            0.030563,            0.018229,            0.053058,             0.45142,             0.16122,             0.10715,            0.056896,            0.022991,           0.0089742,            0.046311,            0.009604,            0.009604,            0.009604
                   6,            0.028115,            0.017562,            0.052982,              0.4927,             0.11111,             0.14328,            0.068769,            0.018779,           0.0075925,            0.045691,            0.009505,            0.009505,            0.009505
                   7,            0.026944,            0.016601,            0.052564,              0.3147,             0.27535,              0.1687,            0.084482,            0.020707,           0.0082474,            0.044459,            0.009406,            0.009406,            0.009406
                   8,            0.025749,            0.015619,            0.052425,             0.25861,             0.30973,             0.17602,             0.11336,            0.015219,           0.0063171,            0.043998,            0.009307,            0.009307,            0.009307
                   9,            0.023963,            0.015027,            0.051791,               0.369,             0.36521,             0.23065,             0.13903,             0.01551,           0.0057464,            0.043387,            0.009208,            0.009208,            0.009208
                  10,            0.023224,            0.014826,            0.051888,             0.36422,             0.33332,             0.21712,             0.13665,            0.014956,           0.0050072,            0.042374,            0.009109,            0.009109,            0.009109
                  11,            0.022877,            0.014183,            0.050962,             0.37792,             0.39048,             0.22548,             0.13489,            0.016198,           0.0053718,            0.042518,             0.00901,             0.00901,             0.00901
                  12,            0.022369,            0.013909,            0.050638,              0.5168,             0.24539,             0.26098,             0.16855,            0.015232,            0.005355,            0.040945,            0.008911,            0.008911,            0.008911
                  13,            0.022074,            0.013835,            0.050506,             0.40429,             0.39689,             0.26126,             0.16553,            0.015822,           0.0044832,            0.040849,            0.008812,            0.008812,            0.008812
                  14,            0.021516,            0.013605,            0.049822,             0.18149,             0.46627,             0.28907,             0.19851,            0.015346,           0.0048841,            0.040675,            0.008713,            0.008713,            0.008713
                  15,            0.021335,            0.013282,            0.049087,             0.21195,             0.49941,             0.28219,             0.20015,            0.014075,           0.0043048,            0.039779,            0.008614,            0.008614,            0.008614
                  16,             0.02049,            0.012718,            0.048603,             0.27877,             0.49951,             0.32506,             0.21419,            0.016016,           0.0043978,            0.039297,            0.008515,            0.008515,            0.008515
                  17,            0.020553,            0.012751,            0.047997,             0.27285,             0.47253,             0.32505,             0.22715,            0.013539,            0.004034,            0.039507,            0.008416,            0.008416,            0.008416
                  18,            0.020589,            0.012981,            0.048114,             0.23101,             0.51636,              0.3332,             0.23109,            0.013684,           0.0040232,            0.037862,            0.008317,            0.008317,            0.008317
                  19,             0.01995,            0.012652,            0.047516,             0.21541,             0.52552,             0.33962,             0.22418,            0.016119,           0.0039696,             0.03834,            0.008218,            0.008218,            0.008218
                  20,            0.020233,            0.012518,            0.046919,             0.20959,             0.50643,             0.33074,             0.23116,            0.013534,           0.0040516,            0.038067,            0.008119,            0.008119,            0.008119
                  21,             0.01968,            0.012454,            0.046883,              0.3542,             0.50141,             0.38636,             0.28102,             0.01221,           0.0037129,            0.036221,             0.00802,             0.00802,             0.00802
                  22,            0.019009,            0.012273,            0.045523,             0.25314,              0.5591,             0.37572,             0.27768,            0.012792,           0.0037269,            0.036581,            0.007921,            0.007921,            0.007921
                  23,            0.019477,            0.012083,            0.045393,             0.25142,             0.64475,             0.46017,             0.33614,             0.01161,           0.0034822,            0.035424,            0.007822,            0.007822,            0.007822
