               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060631,            0.022039,            0.056208,           0.0018613,             0.44991,           0.0023279,          0.00063377,            0.039271,            0.010929,            0.049068,             0.07002,           0.0033311,           0.0033311
                   1,            0.047011,            0.022699,            0.054585,           0.0029752,             0.81841,            0.024398,           0.0072969,            0.038219,            0.010704,            0.048606,            0.039888,           0.0065325,           0.0065325
                   2,            0.041878,            0.022773,            0.054868,            0.002695,             0.73942,            0.037678,            0.008519,            0.036401,             0.01207,            0.048008,           0.0096239,           0.0096019,           0.0096019
                   3,            0.036878,            0.021144,            0.053823,            0.015761,             0.69367,            0.055945,            0.023125,            0.026602,            0.010928,             0.04714,            0.009406,            0.009406,            0.009406
                   4,            0.033693,            0.019381,            0.053585,           0.0063963,             0.96662,             0.10445,            0.049007,             0.02374,           0.0075682,            0.046488,            0.009406,            0.009406,            0.009406
                   5,            0.029944,            0.018338,            0.053039,            0.096782,             0.28069,             0.12532,            0.069055,            0.020846,           0.0078919,            0.045996,            0.009208,            0.009208,            0.009208
                   6,            0.028233,            0.017648,            0.052902,              0.4229,             0.15433,             0.13454,             0.07756,            0.020027,           0.0065954,            0.045541,             0.00901,             0.00901,             0.00901
                   7,            0.026469,            0.016655,            0.052579,             0.13116,             0.39322,             0.15359,            0.092798,            0.017342,           0.0062242,            0.044808,            0.008812,            0.008812,            0.008812
                   8,            0.025539,            0.015768,            0.052394,             0.39035,             0.30307,             0.16613,             0.10795,            0.014769,           0.0055482,            0.044073,            0.008614,            0.008614,            0.008614
                   9,            0.023602,             0.01503,            0.051758,             0.40899,             0.32596,             0.23417,             0.15331,            0.015274,           0.0048592,            0.043334,            0.008416,            0.008416,            0.008416
                  10,            0.023455,            0.014992,            0.051907,             0.33551,             0.35384,             0.19337,             0.11511,            0.016506,           0.0048624,             0.04263,            0.008218,            0.008218,            0.008218
                  11,              0.0223,            0.014375,            0.051015,              0.4701,             0.39254,             0.25409,             0.15071,            0.016678,           0.0048277,            0.042004,             0.00802,             0.00802,             0.00802
                  12,            0.022225,             0.01413,             0.05081,             0.42281,             0.39001,             0.25969,              0.1666,            0.014995,           0.0052931,            0.041349,            0.007822,            0.007822,            0.007822
                  13,             0.02165,            0.014005,            0.050623,              0.3875,             0.44347,             0.25769,             0.15217,            0.018542,            0.004321,            0.041086,            0.007624,            0.007624,            0.007624
                  14,            0.020912,            0.013839,            0.050094,             0.40935,             0.45922,              0.2795,             0.20005,            0.014226,           0.0042276,            0.040822,            0.007426,            0.007426,            0.007426
                  15,            0.020843,            0.013491,            0.049264,             0.20758,             0.55673,             0.25808,             0.17303,            0.014392,           0.0045122,            0.040463,            0.007228,            0.007228,            0.007228
                  16,            0.019944,            0.012888,            0.048971,              0.2168,             0.52633,             0.26736,             0.18698,            0.013028,           0.0043732,            0.040156,             0.00703,             0.00703,             0.00703
                  17,            0.020284,            0.012783,            0.048527,             0.21046,             0.50824,              0.3002,             0.18366,            0.016116,           0.0040542,             0.04014,            0.006832,            0.006832,            0.006832
                  18,            0.020136,            0.013045,            0.048552,             0.25634,             0.50261,             0.32826,             0.22482,            0.014028,           0.0039233,            0.038641,            0.006634,            0.006634,            0.006634
                  19,            0.019744,            0.012716,            0.048073,             0.14352,             0.47823,             0.31456,             0.21856,             0.01369,           0.0038921,            0.039411,            0.006436,            0.006436,            0.006436
                  20,            0.019606,            0.012631,            0.047481,             0.25342,             0.53115,              0.3412,             0.23682,            0.013855,           0.0039049,              0.0382,            0.006238,            0.006238,            0.006238
                  21,            0.019135,            0.012458,            0.047243,             0.63402,             0.33388,             0.36224,             0.25434,             0.01244,           0.0038111,            0.038263,             0.00604,             0.00604,             0.00604
                  22,            0.018865,            0.012308,            0.045981,             0.12967,             0.60279,              0.3516,             0.25424,            0.013179,           0.0040811,            0.038453,            0.005842,            0.005842,            0.005842
                  23,             0.01862,            0.012205,            0.046009,             0.18894,             0.62308,             0.38196,             0.26785,            0.012178,           0.0035923,            0.036514,            0.005644,            0.005644,            0.005644
                  24,            0.018191,            0.011736,            0.044915,             0.39637,             0.38471,             0.34749,             0.23888,            0.013956,           0.0037458,             0.03677,            0.005446,            0.005446,            0.005446
                  25,            0.018022,            0.011856,            0.044611,             0.22474,             0.55632,             0.36387,             0.24627,            0.013134,           0.0039313,            0.036309,            0.005248,            0.005248,            0.005248
                  26,            0.017938,            0.011797,            0.044888,             0.20719,             0.67139,             0.36267,             0.26354,            0.012006,           0.0035816,            0.036333,             0.00505,             0.00505,             0.00505
                  27,            0.017914,            0.011695,            0.044244,             0.25895,             0.51859,             0.36445,             0.25576,            0.012093,           0.0035754,            0.035846,            0.004852,            0.004852,            0.004852
                  28,            0.017627,            0.011457,            0.043886,             0.25737,             0.58445,             0.39202,             0.27558,            0.013092,           0.0035481,            0.036089,            0.004654,            0.004654,            0.004654
                  29,            0.017886,             0.01186,            0.044473,             0.28066,             0.57643,             0.42582,              0.2936,            0.013818,           0.0035229,            0.035889,            0.004456,            0.004456,            0.004456
                  30,            0.017366,            0.011464,            0.043196,             0.26843,             0.60114,              0.4504,             0.31851,            0.012409,           0.0035862,            0.036052,            0.004258,            0.004258,            0.004258
                  31,            0.017444,            0.011428,            0.043622,             0.24972,             0.62768,             0.44441,              0.3091,            0.012853,           0.0035424,             0.03405,             0.00406,             0.00406,             0.00406
                  32,            0.016765,            0.011062,            0.042384,             0.29067,             0.56913,             0.43138,             0.29692,            0.012791,           0.0036304,            0.034884,            0.003862,            0.003862,            0.003862
                  33,            0.017148,            0.011351,            0.042771,             0.35536,             0.62912,             0.45669,             0.32792,            0.011737,           0.0036297,            0.033185,            0.003664,            0.003664,            0.003664
                  34,            0.016043,            0.010834,            0.041535,             0.27773,             0.58872,             0.43971,             0.32977,            0.011691,           0.0033505,            0.033541,            0.003466,            0.003466,            0.003466
                  35,            0.015899,            0.010758,            0.041332,             0.28402,             0.62471,             0.49381,             0.34616,            0.011899,           0.0034132,            0.032603,            0.003268,            0.003268,            0.003268
                  36,            0.016369,            0.011059,             0.04103,             0.25953,             0.62516,             0.48541,             0.34581,            0.012084,            0.003458,            0.032297,             0.00307,             0.00307,             0.00307
                  37,            0.016005,            0.010793,             0.04105,             0.32333,             0.65093,             0.46338,             0.33513,            0.012565,           0.0035325,             0.03349,            0.002872,            0.002872,            0.002872
                  38,            0.016506,            0.011128,            0.041458,              0.3334,             0.66609,             0.48518,             0.33044,            0.013211,           0.0036718,            0.032569,            0.002674,            0.002674,            0.002674
                  39,            0.015463,             0.01045,            0.039762,             0.26737,             0.61928,              0.4814,             0.36275,            0.011075,           0.0033171,            0.032752,            0.002476,            0.002476,            0.002476
                  40,            0.015542,            0.010724,             0.04067,             0.49363,             0.51152,             0.49111,             0.37083,            0.011513,           0.0032889,            0.032646,            0.002278,            0.002278,            0.002278
                  41,            0.015613,            0.010444,            0.040118,             0.27844,              0.6832,             0.48552,             0.34196,            0.012996,           0.0035673,            0.032101,             0.00208,             0.00208,             0.00208
                  42,            0.015187,            0.010519,            0.039361,             0.29191,             0.70131,             0.50422,             0.36158,             0.01229,           0.0035062,            0.032735,            0.001882,            0.001882,            0.001882
                  43,            0.015689,            0.010734,            0.039997,             0.30355,              0.7053,             0.49724,             0.36204,            0.011615,           0.0033357,            0.032554,            0.001684,            0.001684,            0.001684
                  44,            0.014892,            0.010446,            0.039257,             0.27943,             0.66293,              0.5145,             0.36461,            0.012136,           0.0034466,            0.031725,            0.001486,            0.001486,            0.001486
                  45,            0.015062,            0.010678,            0.038743,             0.31219,             0.69005,             0.49698,             0.36229,            0.011933,           0.0034151,            0.032073,            0.001288,            0.001288,            0.001288
                  46,            0.014813,            0.010356,            0.039221,             0.29629,             0.66879,             0.50115,             0.36678,            0.011649,           0.0034156,             0.03127,             0.00109,             0.00109,             0.00109
                  47,            0.014338,            0.010073,            0.038412,             0.33356,             0.65869,             0.50836,             0.35081,            0.012248,           0.0034352,            0.030938,            0.000892,            0.000892,            0.000892
                  48,            0.014654,            0.010477,            0.038539,             0.36777,             0.71982,             0.50574,             0.35516,            0.012141,           0.0034165,            0.031121,            0.000694,            0.000694,            0.000694
                  49,            0.014497,            0.010249,            0.038313,             0.36651,              0.6573,             0.51285,             0.37305,            0.011824,           0.0034252,            0.031943,            0.000496,            0.000496,            0.000496
